time,2012 Denmark_HH80_SP400
03/02/2012 22.00,0.0001
03/02/2012 23.00,0
04/02/2012 00.00,0.0313
04/02/2012 01.00,0.0302
04/02/2012 02.00,0.0213
04/02/2012 03.00,0.0252
04/02/2012 04.00,0.0207
04/02/2012 05.00,0.0076
04/02/2012 06.00,0.0094
04/02/2012 07.00,0.0094
04/02/2012 08.00,0.0074
04/02/2012 09.00,0.004
04/02/2012 10.00,0.0001
04/02/2012 11.00,0
04/02/2012 12.00,0
04/02/2012 13.00,0
04/02/2012 14.00,0
04/02/2012 15.00,0
04/02/2012 16.00,0
04/02/2012 17.00,0
04/02/2012 18.00,0
04/02/2012 19.00,0
04/02/2012 20.00,0
04/02/2012 21.00,0.0001
04/02/2012 22.00,0.0002
04/02/2012 23.00,0.0019
05/02/2012 00.00,0.0283
05/02/2012 01.00,0.015
05/02/2012 02.00,0.0146
05/02/2012 03.00,0.0386
05/02/2012 04.00,0.0611
05/02/2012 05.00,0.0548
05/02/2012 06.00,0.0568
05/02/2012 07.00,0.0548
05/02/2012 08.00,0.0681
05/02/2012 09.00,0.0729
05/02/2012 10.00,0.1228
05/02/2012 11.00,0.2205
05/02/2012 12.00,0.2711
05/02/2012 13.00,0.2642
05/02/2012 14.00,0.2877
05/02/2012 15.00,0.2531
05/02/2012 16.00,0.2264
05/02/2012 17.00,0.2044
05/02/2012 18.00,0.2487
05/02/2012 19.00,0.3169
05/02/2012 20.00,0.3618
05/02/2012 21.00,0.3372
05/02/2012 22.00,0.2406
05/02/2012 23.00,0.1901
06/02/2012 00.00,0.1394
06/02/2012 01.00,0.1253
06/02/2012 02.00,0.0797
06/02/2012 03.00,0.0542
06/02/2012 04.00,0.0333
06/02/2012 05.00,0.0409
06/02/2012 06.00,0.0197
06/02/2012 07.00,0.0177
06/02/2012 08.00,0.0213
06/02/2012 09.00,0.0557
06/02/2012 10.00,0.0512
06/02/2012 11.00,0.0622
06/02/2012 12.00,0.0496
