Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S23-T071,138.1810583,121.8695933,93.06466116,63.14535371,54.97903851,139.5322289,120.5283842,115.7955752,110.4073015,117.1403293,137.9747928,120.8912566,92.40779231,30.75307919,19.67200703
S23-T072,127.0698018,103.4851597,92.69874772,63.01875188,54.97903851,133.6710054,113.8085073,115.6795924,110.2967069,117.1403293,126.9425448,102.6695608,92.22269487,30.72213888,19.67200703
S23-T073,120.1665689,103.4851597,71.83338054,62.89751898,54.97903851,124.1649093,108.5275404,114.7329442,110.186223,117.0230018,120.1665689,102.6695608,70.99613644,30.66081073,19.67200703
S23-T074,120.0492196,100.5423575,71.83338054,62.89405185,54.93836843,123.1845724,108.1529687,111.5820527,110.186223,117.0230018,120.0484222,96.21115033,70.81191948,30.50687871,19.67200703
S23-T075,110.9892668,100.5423575,71.76135993,62.83097057,54.92387225,111.4021345,108.1529687,111.4702835,110.0758495,116.9057915,111.694466,90.04058533,69.11514467,30.47618461,19.6521478
S23-T076,110.9892668,103.4851597,71.83338054,62.89751898,54.97903851,111.4021345,108.3699745,111.5820527,110.0758495,117.0796381,111.694466,99.74994648,69.18451093,30.50687871,19.69188614
S23-T077,115.8216226,103.4851597,71.83338054,62.89751898,55.03426,111.4021345,108.3699745,111.8059271,110.0758495,117.1403293,114.0349999,99.74994648,70.99552493,30.50687871,19.69188614
S23-T078,120.1665689,103.4851597,71.97763811,62.89751898,55.03426,123.9170632,108.3699745,113.8040254,110.186223,117.2577743,120.1665689,102.6695608,71.06677893,30.56746112,19.69188614
S23-T079,123.7184013,103.4851597,71.83338054,62.89751898,54.97903851,124.301443,108.7452965,114.7329442,110.2967069,117.1403293,124.5083804,102.6695608,70.99613644,30.69168964,19.69188614
S23-T080,127.0698018,103.4851597,71.83338054,62.89405185,54.92387225,130.2538394,108.6888137,113.5782648,110.0758495,117.0230018,127.0698018,99.74994648,70.99613644,30.5059825,19.6521478
S23-T081,126.815415,100.5423522,69.67630261,62.0703093,54.6647484,132.4966147,104.4114294,109.1440576,106.6298813,114.3759533,126.815415,8.418761327,67.01510543,30.05697,19.57290925
S23-T082,119.9259817,48.31188692,63.10874329,58.53153378,48.05942952,123.9134814,98.45883326,102.3820919,101.1078923,110.9842227,119.9259817,5.911956918,12.24766585,28.0091346,17.96281134
S23-T083,105.7286454,3.087345998,52.34485849,9.755182085,3.077532099,106.8295457,85.53028493,101.8754343,98.52894095,16.67651982,105.7286454,2.261517732,3.097367407,3.097367407,2.815151919
S23-T084,100.1101419,2.263968928,9.755182085,3.077532099,2.815151919,105.8346673,15.37067719,68.10838159,9.755182085,3.077532099,99.96070524,0.00093895,3.054747231,2.946342009,2.254178842
S23-T085,100.1101419,2.261517732,3.064492638,3.061240919,2.261517732,105.7286454,15.35511929,3.221930058,3.097367407,2.815151919,99.96070524,0.000375016,2.169694049,2.815151919,2.151284112
S23-T086,83.7396827,2.261517732,2.266422578,2.946342009,2.261517732,105.7286454,5.599415295,2.946342009,3.077532099,2.815151919,83.7396827,0.000375016,2.167337128,2.815151919,2.151284112
S23-T087,83.7396827,2.261517732,2.266422578,2.815151919,2.261517732,105.7286454,5.522671118,2.28119614,3.064492638,2.815151919,83.7396827,0.000375016,2.169694049,2.815151919,2.151284112
